Date,Open,High,Low,Close,Adj Close,Volume
15-07-2008,1220,1374,1038,1038,433.869781,14477000
16-07-2008,1062,1100,900,936,391.235138,2199000
17-07-2008,970,977,890,942,393.743073,1199500
18-07-2008,930,944,901,901,376.605652,803500
21-07-2008,952,1036,943,1036,433.033783,1634500
22-07-2008,1090,1152,931,942,393.743073,3196000
23-07-2008,960,980,920,921,384.965393,1273500
24-07-2008,930,964,923,964,402.938782,537000
25-07-2008,930,966,930,949,396.668915,278500
28-07-2008,958,960,900,918,383.711395,349000
29-07-2008,886,908,883,899,375.769653,391500
30-07-2008,929,977,909,920,384.547333,349500
31-07-2008,920,931,900,922,385.383331,171500
01-08-2008,904,936,904,924,386.21933,127500
04-08-2008,924,945,910,926,387.055298,178500
05-08-2008,997,997,928,953,398.340942,203000
06-08-2008,970,974,940,960,401.266815,204500
07-08-2008,960,970,950,960,401.266815,217500
08-08-2008,960,1020,954,1000,417.986298,358500
11-08-2008,1010,1030,980,1000,417.986298,155000
12-08-2008,982,1000,980,987,412.552521,116500
13-08-2008,976,996,950,964,402.938782,133000
14-08-2008,945,967,922,934,390.39917,110500
15-08-2008,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805
18-08-2008,921,929,902,902,377.023621,185000
19-08-2008,932,932,888,890,372.007813,81000
20-08-2008,882,919,882,908,379.531555,61000
21-08-2008,936,936,840,853,356.542297,132000
22-08-2008,824,880,793,816,341.076813,183000
25-08-2008,858,858,774,819,342.330811,48000
26-08-2008,760,810,760,782,326.865234,55000
27-08-2008,765,839,760,761,318.087585,63000
28-08-2008,792,792,752,779,325.611298,14500
29-08-2008,846,846,768,773,323.103363,12500
01-09-2008,836,836,757,758,316.833588,30500
02-09-2008,705,798,671,672,280.88678,58000
03-09-2008,740,768,644,708,295.934296,36500
04-09-2008,720,740,680,716,299.278168,41500
05-09-2008,700,706,610,682,285.06665,36500
08-09-2008,714,714,686,709,296.352264,40500
09-09-2008,710,726,691,709,296.352264,6000
10-09-2008,728,728,680,696,290.918488,13500
11-09-2008,710,713,692,710,296.770264,2500
12-09-2008,710,770,698,769,321.431427,37500
15-09-2008,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805
16-09-2008,758,758,680,685,286.320557,39500
17-09-2008,728,770,687,740,309.309845,38000
18-09-2008,768,768,688,700,292.590393,30500
19-09-2008,719,738,703,714,298.442169,10500
22-09-2008,718,756,714,714,298.442169,10000
23-09-2008,720,730,694,710,296.770264,14500
24-09-2008,702,816,690,816,341.076813,148500
25-09-2008,840,849,774,774,323.521332,77500
26-09-2008,763,780,752,753,314.743652,23000
29-09-2008,788,788,741,775,323.939331,6500
30-09-2008,694,758,694,754,315.161621,12000
01-10-2008,741,766,732,756,315.99762,13000
02-10-2008,740,759,730,734,306.80191,3500
03-10-2008,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805,1291.067805
06-10-2008,730,756,704,720,300.950134,2000
